Date,Close,Mahadasha,Antardasha,SMI_Base,Tithi,Nakshatra,Nithya_Yoga,Aspect_Mars_Saturn,Aspect_Jup_Sun,Aspect_Rahu_Mars,Vedha_Score,Sun_Deg,Sun_Speed,Moon_Deg,Moon_Speed,Mercury_Deg,Mercury_Speed,Venus_Deg,Venus_Speed,Mars_Deg,Mars_Speed,Jupiter_Deg,Jupiter_Speed,Saturn_Deg,Saturn_Speed,Uranus_Deg,Uranus_Speed,Neptune_Deg,Neptune_Speed,Pluto_Deg,Pluto_Speed,True_Node_Deg,True_Node_Speed,Lilith_Deg,Lilith_Speed,Ketu_Deg,Ketu_Speed
2009-07-13,13.19,Rahu,Rahu,1.5,21,26,5,0,0,0,0,87.233,0.9536,334.62,12.476,86.522,2.153,44.985,1.1123,36.975,0.7025,301.782,-0.0851,143.58,0.0866,332.569,-0.0097,301.971,-0.0211,247.485,-0.0239,276.24,0.0124,267.027,-0.078,96.24,0
2009-07-14,13.36,Rahu,Rahu,1.5,22,27,6,0,0,0,0,88.186,0.9537,347.246,12.7873,88.67,2.1437,46.099,1.1148,37.677,0.7013,301.696,-0.0876,143.668,0.0877,332.559,-0.0104,301.949,-0.0214,247.461,-0.0237,276.246,0.0009,266.95,-0.0777,96.246,0
2009-07-15,13.84,Rahu,Rahu,1.5,23,1,7,0,0,0,0,89.14,0.9539,0.214,13.1555,90.808,2.1308,47.215,1.1172,38.377,0.7,301.607,-0.0901,143.756,0.0888,332.548,-0.0112,301.928,-0.0218,247.437,-0.0235,276.244,-0.0042,266.872,-0.077,96.244,0
2009-07-16,14.01,Rahu,Rahu,1.5,24,2,8,0,0,0,0,90.094,0.9541,13.572,13.5677,92.931,2.1146,48.333,1.1196,39.077,0.6988,301.516,-0.0926,143.845,0.0899,332.536,-0.012,301.906,-0.0221,247.414,-0.0233,276.24,-0.0034,266.796,-0.0758,96.24,0
2009-07-17,14.09,Rahu,Rahu,1.5,25,3,9,0,0,0,0,91.048,0.9543,27.356,14.0004,95.036,2.0957,49.454,1.1219,39.775,0.6975,301.422,-0.095,143.936,0.091,332.524,-0.0127,301.884,-0.0224,247.391,-0.0231,276.237,-0.0039,266.721,-0.0742,96.237,0
2009-07-20,14.33,Rahu,Rahu,1.5,29,6,13,0,0,0,0,93.912,0.9548,71.102,15.0476,101.224,2.0267,52.829,1.1284,41.861,0.6935,301.127,-0.1019,144.213,0.0941,332.482,-0.015,301.815,-0.0233,247.323,-0.0224,276.221,-0.0033,266.508,-0.0671,96.221,0
2009-07-21,14.45,Rahu,Rahu,1.5,30,7,14,0,0,0,0,94.867,0.955,86.226,15.1757,103.237,2.0008,53.959,1.1305,42.554,0.6921,301.024,-0.104,144.308,0.0951,332.467,-0.0157,301.792,-0.0235,247.3,-0.0221,276.219,-0.0011,266.442,-0.064,96.219,0
2009-07-22,14.32,Rahu,Rahu,1.5,1,8,15,0,0,0,0,95.822,0.9552,101.402,15.1483,105.225,1.974,55.09,1.1325,43.245,0.6907,300.919,-0.1061,144.403,0.0962,332.451,-0.0165,301.768,-0.0238,247.278,-0.0218,276.218,0.0004,266.38,-0.0606,96.218,0
2009-07-23,14.73,Rahu,Rahu,1.5,2,9,16,0,0,0,0,96.777,0.9553,116.472,14.9682,107.185,1.9465,56.224,1.1345,43.935,0.6893,300.812,-0.1081,144.5,0.0971,332.434,-0.0172,301.744,-0.0241,247.257,-0.0216,276.218,-0.0008,266.321,-0.0569,96.218,0
2009-07-24,14.88,Rahu,Rahu,1.5,3,10,18,3,0,0,0,97.733,0.9554,131.295,14.6602,109.118,1.9185,57.359,1.1364,44.624,0.6879,300.702,-0.11,144.598,0.0981,332.417,-0.0179,301.72,-0.0243,247.235,-0.0213,276.216,-0.0048,266.266,-0.053,96.216,0
2009-07-27,14.93,Rahu,Rahu,1.5,7,14,21,3,0,0,0,100.6,0.9558,173.411,13.3823,114.746,1.8334,60.777,1.142,46.681,0.6836,300.364,-0.1153,144.896,0.1009,332.36,-0.02,301.646,-0.025,247.173,-0.0204,276.207,0.0003,266.126,-0.04,96.207,0
2009-07-28,14.71,Rahu,Rahu,3.5,8,14,22,3,0,0,0,101.555,0.9559,186.584,12.9709,116.565,1.8049,61.92,1.1439,47.364,0.6821,300.248,-0.1169,144.998,0.1018,332.339,-0.0207,301.621,-0.0252,247.153,-0.0201,276.205,-0.0045,266.088,-0.0354,96.205,0
2009-07-29,14.37,Rahu,Rahu,3.5,9,15,23,3,0,0,0,102.511,0.956,199.37,12.6118,118.356,1.7765,63.065,1.1457,48.045,0.6806,300.131,-0.1184,145.1,0.1026,332.318,-0.0214,301.596,-0.0254,247.133,-0.0197,276.2,-0.0045,266.055,-0.0306,96.2,0
2009-07-30,14.58,Rahu,Rahu,3.5,10,16,24,3,0,0,0,103.467,0.9562,211.829,12.3169,120.118,1.7483,64.211,1.1475,48.725,0.6792,300.011,-0.1198,145.203,0.1035,332.297,-0.0221,301.57,-0.0256,247.113,-0.0194,276.2,0.0063,266.027,-0.0256,96.2,0
2009-07-31,14.72,Rahu,Rahu,6.0,10,17,25,3,0,0,0,104.424,0.9563,224.027,12.0903,121.852,1.7202,65.36,1.1492,49.404,0.6777,299.891,-0.1212,145.307,0.1043,332.274,-0.0227,301.544,-0.0258,247.094,-0.0191,276.212,0.0179,266.004,-0.0206,96.212,0
2009-08-03,15.1,Rahu,Rahu,3.5,13,20,1,3,0,0,0,107.294,0.9569,259.719,11.7931,126.887,1.6366,68.815,1.1545,51.43,0.6733,299.522,-0.1247,145.623,0.1067,332.203,-0.0246,301.466,-0.0262,247.038,-0.018,276.261,0.0091,265.965,-0.005,96.261,0
2009-08-04,15.07,Rahu,Rahu,6.0,14,21,2,3,0,0,0,108.251,0.9572,271.512,11.801,128.51,1.609,69.971,1.1562,52.103,0.6718,299.396,-0.1258,145.73,0.1075,332.178,-0.0253,301.44,-0.0264,247.02,-0.0177,276.268,0.0035,265.963,0.0003,96.268,0
2009-08-05,14.92,Rahu,Rahu,3.5,15,22,3,3,0,0,0,109.208,0.9574,283.335,11.8512,130.105,1.5814,71.128,1.158,52.774,0.6704,299.27,-0.1267,145.838,0.1083,332.153,-0.0259,301.414,-0.0265,247.003,-0.0173,276.266,-0.0069,265.966,0.0057,96.266,0
2009-08-06,14.8,Rahu,Rahu,3.5,16,23,4,3,2,0,0,110.165,0.9577,295.227,11.9384,131.673,1.5537,72.287,1.1597,53.444,0.6689,299.143,-0.1275,145.947,0.109,332.126,-0.0265,301.387,-0.0266,246.986,-0.0169,276.253,-0.0206,265.975,0.0111,96.253,0
2009-08-07,14.78,Rahu,Rahu,6.0,17,24,5,3,2,0,0,111.123,0.958,307.223,12.0593,133.212,1.5261,73.447,1.1614,54.112,0.6674,299.015,-0.1283,146.056,0.1097,332.1,-0.0271,301.36,-0.0268,246.969,-0.0166,276.226,-0.0316,265.988,0.0165,96.226,0
2009-08-10,14.84,Rahu,Rahu,3.5,20,26,8,3,2,0,0,113.999,0.959,344.165,12.6188,137.665,1.4421,76.939,1.1664,56.107,0.6628,298.628,-0.13,146.389,0.1118,332.016,-0.0288,301.28,-0.027,246.921,-0.0154,276.116,-0.0381,266.062,0.0329,96.116,0
2009-08-11,14.63,Rahu,Rahu,3.5,21,27,9,3,2,0,0,114.958,0.9594,356.909,12.8746,139.093,1.4136,78.106,1.168,56.769,0.6613,298.498,-0.1304,146.501,0.1125,331.987,-0.0293,301.253,-0.0271,246.906,-0.015,276.079,-0.0344,266.098,0.0383,96.079,0
